2022-12-28 16:45:01.319436, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 16:45:02.094288, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:00:01.199208, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:15:00.874043, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:15:01.255895, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:30:00.862147, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:30:02.772584, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:45:01.161813, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 17:45:01.489618, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:00:00.951892, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:00:01.219562, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:15:00.985833, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:15:01.264766, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:30:01.006710, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:30:02.017335, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:45:00.952252, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-28 18:45:02.201112, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 10:41:50.534468, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 10:45:01.248767, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 11:00:01.891765, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 11:15:00.965720, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 14:45:01.381616, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 14:55:15.497910, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 15:00:00.899947, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 15:15:01.549835, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 15:30:01.446920, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 15:45:02.309245, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 16:00:01.069676, B/S PRICE:0, TYPE: nope, STOP: 0, TARGET: 0
2022-12-30 16:15:01.989561, B/S PRICE:16554.57, TYPE: sell, STOP: 16577.53, TARGET: 16512.580000000005
2022-12-30 16:30:28.976962, B/S PRICE:0, TYPE: sell, STOP: 0, TARGET: 0
2022-12-30 16:45:01.592053, B/S PRICE:0, TYPE: sell, STOP: 16571.41, TARGET: 16526.590000000004
