1675527300000,23409.93000000,23430.04000000,23358.57000000,23429.36000000,2811.92339000,1675528199999,65788991.88194750,72416,1350.68793000,31603619.19162800,0
1675528200000,23428.81000000,23455.52000000,23393.53000000,23408.98000000,2710.31975000,1675529099999,63486768.56005350,77461,1349.72103000,31617715.01633040,0
1675529100000,23408.98000000,23410.74000000,23386.10000000,23407.83000000,1624.85887000,1675529999999,38022165.41483560,53621,770.92820000,18040391.86989510,0
1675530000000,23408.28000000,23433.72000000,23396.40000000,23425.63000000,1881.94147000,1675530899999,44061215.79355240,57323,990.71479000,23195709.77356630,0
1675530900000,23426.29000000,23430.55000000,23392.28000000,23427.89000000,1879.73155000,1675531799999,44005395.98101740,59856,919.27394000,21521169.32625580,0
1675531800000,23427.30000000,23432.00000000,23395.00000000,23421.06000000,1557.37061000,1675532699999,36466594.25382120,54162,757.82965000,17745430.26395150,0
1675532700000,23421.06000000,23465.00000000,23416.63000000,23439.63000000,2284.50004000,1675533599999,53560070.94858100,64933,1157.99192000,27149205.16393120,0
1675533600000,23439.01000000,23472.50000000,23438.37000000,23449.17000000,1752.64849000,1675534499999,41103514.34050710,51978,937.87244000,21995571.46435350,0
1675534500000,23449.28000000,23459.47000000,23423.82000000,23439.23000000,1642.13933000,1675535399999,38490988.00324300,49740,775.22871000,18171287.64218750,0
1675535400000,23439.23000000,23443.20000000,23402.22000000,23434.46000000,1831.00139000,1675536299999,42890563.98620150,58817,892.43237000,20905072.84061050,0
1675536300000,23434.46000000,23454.21000000,23426.00000000,23445.66000000,1275.51268000,1675537199999,29901697.30275590,45695,632.39104000,14825357.49642090,0
1675537200000,23445.66000000,23454.94000000,23441.02000000,23450.97000000,1147.53747000,1675538099999,26908356.92898810,41810,555.98555000,13037524.57436580,0
1675538100000,23450.97000000,23452.19000000,23428.30000000,23434.58000000,1031.53118000,1675538999999,24176789.52330870,38365,475.02241000,11133456.54019730,0
1675539000000,23434.59000000,23438.79000000,23415.01000000,23434.64000000,1122.72958000,1675539899999,26305045.91293070,40347,551.21798000,12915010.29026840,0
1675539900000,23435.02000000,23442.02000000,23423.29000000,23425.89000000,976.07319000,1675540799999,22870787.32825930,36052,494.36809000,11583980.30743470,0
1675540800000,23425.28000000,23442.27000000,23397.90000000,23437.82000000,2035.60513000,1675541699999,47683515.53586720,51428,903.94740000,21177306.85365700,0
1675541700000,23437.34000000,23438.26000000,23421.52000000,23425.35000000,1048.49439000,1675542599999,24564369.28454500,39970,487.51776000,11421799.54289400,0
1675542600000,23424.96000000,23425.39000000,23389.00000000,23396.19000000,1503.69416000,1675543499999,35190777.57554490,44036,701.20192000,16410234.65408950,0
1675543500000,23396.19000000,23417.98000000,23394.12000000,23412.48000000,896.59048000,1675544399999,20989280.29736920,34732,460.62171000,10783184.93392530,0
1675544400000,23412.48000000,23418.12000000,23393.42000000,23412.06000000,1245.30178000,1675545299999,29149181.09136510,38145,573.07155000,13414420.69646710,0
1675545300000,23412.06000000,23417.53000000,23403.52000000,23406.42000000,928.84854000,1675546199999,21745018.32572270,33505,475.08278000,11122152.09160210,0
1675546200000,23406.76000000,23411.37000000,23372.92000000,23400.23000000,1446.13442000,1675547099999,33834755.86627590,45582,703.63037000,16462998.81088130,0
1675547100000,23400.74000000,23418.42000000,23395.70000000,23413.98000000,994.35742000,1675547999999,23277106.50951050,35335,508.71187000,11908620.84697820,0
1675548000000,23413.54000000,23417.81000000,23407.00000000,23413.16000000,859.53612000,1675548899999,20122695.47241080,30308,416.14244000,9742563.29656090,0
1675548900000,23413.16000000,23415.45000000,23405.00000000,23412.91000000,956.67591000,1675549799999,22396509.19141690,28684,451.37762000,10567276.92878210,0
1675549800000,23412.63000000,23449.96000000,23406.67000000,23406.77000000,1522.09089000,1675550699999,35661612.85953220,42068,795.65739000,18642082.59522410,0
1675550700000,23406.77000000,23435.00000000,23391.26000000,23402.89000000,1299.99799000,1675551599999,30433907.14474100,44095,597.65416000,13992081.79744890,0
