open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1675039200000,23740.67000000,23746.00000000,23727.03000000,23730.51000000,143.90794000,1675039259999,3416065.79696990,4202,73.27185000,1739408.57114440,0
1675039260000,23730.51000000,23740.00000000,23725.00000000,23739.43000000,119.64735000,1675039319999,2839566.75610450,4285,57.98522000,1376177.87912940,0
1675039320000,23739.43000000,23746.36000000,23725.00000000,23731.49000000,173.14789000,1675039379999,4109670.21154540,4681,76.96370000,1826814.85377090,0
1675039380000,23731.49000000,23731.69000000,23724.02000000,23728.20000000,73.12399000,1675039439999,1735061.35105230,2738,34.94978000,829281.84408050,0
1675039440000,23727.24000000,23751.04000000,23727.14000000,23748.00000000,168.45875000,1675039499999,3998914.96403330,4944,100.75856000,2391812.28177050,0
1675039500000,23747.52000000,23752.00000000,23731.32000000,23742.98000000,177.78683000,1675039559999,4221023.94741650,4626,81.66687000,1938943.72558380,0
1675039560000,23742.19000000,23748.51000000,23726.01000000,23747.16000000,207.03500000,1675039619999,4914554.34220040,5642,94.07385000,2233190.67287710,0
1675039620000,23747.16000000,23759.97000000,23746.63000000,23758.55000000,114.29893000,1675039679999,2715019.38949250,4000,63.42815000,1506671.28058450,0
1675039680000,23757.98000000,23766.96000000,23757.94000000,23762.06000000,117.51840000,1675039739999,2792479.48788930,3762,60.77914000,1444253.09086900,0
1675039740000,23761.57000000,23767.65000000,23760.00000000,23764.46000000,80.58207000,1675039799999,1914932.29658910,2951,37.92962000,901358.64348610,0
1675039800000,23765.35000000,23775.80000000,23756.62000000,23762.51000000,301.83794000,1675039859999,7173591.88899590,6480,153.52372000,3648821.93960010,0
1675039860000,23762.51000000,23774.08000000,23761.80000000,23771.87000000,110.50557000,1675039919999,2626622.31948340,3513,64.02427000,1521805.36097750,0
1675039920000,23771.01000000,23774.00000000,23760.00000000,23768.61000000,136.49932000,1675039979999,3244222.40899330,3658,56.07918000,1332892.25101670,0
1675039980000,23767.76000000,23772.00000000,23764.56000000,23767.81000000,79.05628000,1675040039999,1879100.80497410,2675,39.98483000,950452.91804260,0
1675040040000,23767.10000000,23774.56000000,23763.15000000,23773.50000000,87.80536000,1675040099999,2087092.17350080,3170,45.75500000,1087590.39349090,0
1675040100000,23773.05000000,23775.20000000,23757.44000000,23761.14000000,114.37262000,1675040159999,2718064.65731420,3673,46.95035000,1115800.46101570,0
1675040160000,23760.62000000,23766.21000000,23756.00000000,23764.80000000,125.89185000,1675040219999,2991459.07326330,2822,47.89007000,1138007.13866390,0
1675040220000,23764.32000000,23765.82000000,23755.00000000,23759.88000000,69.05668000,1675040279999,1640806.66702080,2722,29.39799000,698510.54414270,0
1675040280000,23759.89000000,23765.68000000,23758.92000000,23761.87000000,64.19714000,1675040339999,1525505.71274490,2727,29.13914000,692432.61674280,0
1675040340000,23761.60000000,23762.93000000,23750.00000000,23751.43000000,105.04474000,1675040399999,2495373.87117370,3444,41.20588000,978866.83529900,0
1675040400000,23751.02000000,23754.78000000,23734.45000000,23739.75000000,223.78970000,1675040459999,5314241.11012810,5407,84.03975000,1995696.61357240,0
1675040460000,23739.27000000,23758.76000000,23737.78000000,23757.66000000,108.62615000,1675040519999,2579927.91471130,3888,67.98936000,1614769.08206120,0
1675040520000,23758.64000000,23765.90000000,23752.39000000,23759.02000000,158.80235000,1675040579999,3773289.13886580,4865,75.97731000,1805329.72558430,0
1675040580000,23758.20000000,23765.81000000,23755.19000000,23762.79000000,58.61878000,1675040639999,1392930.96850030,3003,28.77483000,683775.67162390,0
1675040640000,23762.79000000,23763.29000000,23745.91000000,23747.08000000,116.62694000,1675040699999,2770683.62495740,4223,50.74647000,1205559.46345290,0
1675040700000,23747.72000000,23751.20000000,23731.64000000,23738.82000000,143.32976000,1675040759999,3402647.72368300,4200,73.86430000,1753553.66532140,0
1675040760000,23738.21000000,23739.90000000,23724.80000000,23729.68000000,109.99407000,1675040819999,2610284.25820180,4120,50.65966000,1202230.16617540,0
1675040820000,23729.69000000,23732.76000000,23716.54000000,23725.78000000,151.73347000,1675040879999,3599542.86170000,4505,64.61678000,1532900.39094130,0
1675040880000,23725.78000000,23732.35000000,23712.34000000,23716.00000000,156.76745000,1675040939999,3719037.91919800,4268,64.05843000,1519771.25036450,0
1675040940000,23716.00000000,23719.45000000,23702.00000000,23712.02000000,195.49672000,1675040999999,4635119.17252390,4975,94.49378000,2240389.44949380,0
1675041000000,23712.76000000,23717.54000000,23705.97000000,23713.52000000,122.35208000,1675041059999,2901194.30199240,3700,66.72486000,1582198.47641710,0
1675041060000,23712.64000000,23713.86000000,23692.91000000,23701.72000000,285.29185000,1675041119999,6762086.84714470,5693,140.37100000,3327093.11799480,0
1675041120000,23702.29000000,23704.58000000,23679.02000000,23686.90000000,277.62278000,1675041179999,6576551.59132970,7486,122.72748000,2907298.83120030,0
1675041180000,23685.60000000,23695.22000000,23675.10000000,23692.01000000,212.77665000,1675041239999,5039423.84891400,6002,105.57648000,2500545.11000350,0
1675041240000,23693.28000000,23697.00000000,23677.30000000,23682.00000000,122.64534000,1675041299999,2905293.85461080,4679,49.68469000,1176993.65324470,0
1675041300000,23682.00000000,23683.36000000,23669.14000000,23674.07000000,209.02910000,1675041359999,4948890.24376560,7560,93.23732000,2207546.92597720,0
1675041360000,23673.04000000,23685.46000000,23658.00000000,23660.40000000,549.13156000,1675041419999,12997022.96344810,8762,185.99081000,4402296.36406540,0
1675041420000,23661.76000000,23692.02000000,23627.00000000,23684.14000000,655.50715000,1675041479999,15507946.79834290,11728,262.07586000,6200400.83532470,0
1675041480000,23684.14000000,23701.32000000,23673.67000000,23676.00000000,250.81867000,1675041539999,5941136.61083390,6595,137.21442000,3250280.82658390,0
1675041540000,23676.66000000,23677.86000000,23647.72000000,23663.31000000,256.72893000,1675041599999,6073533.23463260,7134,126.85607000,3001107.91624840,0
1675041600000,23663.31000000,23663.73000000,23628.31000000,23634.16000000,283.73400000,1675041659999,6707682.57294980,6960,122.24470000,2890024.62496290,0
1675041660000,23633.18000000,23658.91000000,23625.83000000,23652.95000000,320.27434000,1675041719999,7573656.15946240,9194,190.34851000,4501392.22308040,0
1675041720000,23652.07000000,23661.52000000,23628.99000000,23653.87000000,316.61895000,1675041779999,7486317.65043020,8334,161.11080000,3809473.45599190,0
1675041780000,23652.03000000,23663.38000000,23639.54000000,23650.19000000,375.52856000,1675041839999,8881828.00514750,8103,181.33386000,4288802.82905840,0
1675041840000,23651.55000000,23656.82000000,23639.49000000,23652.22000000,139.24493000,1675041899999,3292771.04377930,4587,73.25030000,1732267.48017910,0
1675041900000,23653.09000000,23670.02000000,23652.22000000,23669.18000000,147.47772000,1675041959999,3489790.13158720,5173,75.30706000,1782038.54798460,0
1675041960000,23669.18000000,23675.00000000,23661.32000000,23673.09000000,116.05671000,1675042019999,2746986.33720830,4259,57.09773000,1351502.51265050,0
1675042020000,23672.23000000,23684.94000000,23670.92000000,23681.74000000,201.31589000,1675042079999,4766806.38289520,5475,111.05456000,2629636.82842580,0
1675042080000,23681.77000000,23686.04000000,23663.20000000,23670.64000000,195.02467000,1675042139999,4617316.14131300,4637,98.87264000,2340975.94240450,0
1675042140000,23670.64000000,23687.42000000,23668.12000000,23685.08000000,108.40047000,1675042199999,2566933.18261590,3858,61.68457000,1460705.27777580,0
1675042200000,23684.72000000,23686.22000000,23671.73000000,23672.75000000,76.95949000,1675042259999,1822330.62146010,3491,36.14313000,855860.44389440,0
1675042260000,23672.75000000,23681.39000000,23667.41000000,23680.91000000,117.17276000,1675042319999,2773984.52063650,3975,64.18480000,1519580.87347720,0
1675042320000,23680.34000000,23683.98000000,23670.43000000,23674.36000000,94.90780000,1675042379999,2246951.51194380,3211,48.04200000,1137420.33794840,0
1675042380000,23675.12000000,23678.20000000,23664.00000000,23667.90000000,104.90371000,1675042439999,2483282.94884050,3663,52.71930000,1248000.23548210,0
1675042440000,23667.33000000,23674.97000000,23660.49000000,23666.01000000,134.03234000,1675042499999,3172076.02496580,4285,71.51886000,1692659.23289380,0
1675042500000,23666.01000000,23667.42000000,23647.69000000,23650.94000000,148.42102000,1675042559999,3511271.15323950,4550,60.52294000,1431907.76535130,0
1675042560000,23649.89000000,23663.99000000,23642.08000000,23663.38000000,162.48082000,1675042619999,3842974.87037050,5076,93.01043000,2199958.71938180,0
1675042620000,23662.48000000,23664.44000000,23653.20000000,23654.97000000,115.72901000,1675042679999,2738115.70411240,3367,47.59671000,1126171.15225920,0
1675042680000,23654.97000000,23655.34000000,23631.97000000,23643.67000000,280.14543000,1675042739999,6623148.47574430,6752,137.66941000,3254944.71377260,0
1675042740000,23643.67000000,23657.33000000,23642.48000000,23644.47000000,138.45753000,1675042799999,3274570.51577050,4497,64.60662000,1528049.55639200,0
1675042800000,23642.51000000,23662.00000000,23640.00000000,23659.55000000,127.62119000,1675042859999,3017986.79302980,4447,77.49117000,1832524.92069960,0
1675042860000,23658.68000000,23672.68000000,23658.68000000,23669.07000000,133.76847000,1675042919999,3165787.00354120,4947,68.60576000,1623680.08358800,0
1675042920000,23669.07000000,23674.53000000,23662.90000000,23672.55000000,96.60309000,1675042979999,2286491.29541580,3698,50.43612000,1193777.39288480,0
1675042980000,23671.96000000,23677.74000000,23668.30000000,23672.60000000,131.11364000,1675043039999,3103908.04016270,4322,64.75670000,1533055.03030870,0
1675043040000,23672.60000000,23676.48000000,23668.57000000,23674.48000000,69.51453000,1675043099999,1645633.12863650,2988,33.64555000,796512.14406320,0
1675043100000,23674.48000000,23678.83000000,23662.91000000,23670.59000000,164.71916000,1675043159999,3899122.28265410,4726,84.41864000,1998355.84554080,0
1675043160000,23669.26000000,23672.62000000,23664.52000000,23671.31000000,66.93611000,1675043219999,1584308.11695110,2559,36.32645000,859823.86675080,0
1675043220000,23671.66000000,23677.21000000,23660.76000000,23674.00000000,166.39436000,1675043279999,3938571.64096930,4728,83.46574000,1975677.83101250,0
1675043280000,23674.36000000,23677.22000000,23670.71000000,23673.11000000,70.80384000,1675043339999,1676211.18910680,2688,35.40118000,838106.07818850,0
1675043340000,23673.93000000,23677.32000000,23652.66000000,23660.12000000,136.36858000,1675043399999,3227107.80141640,4091,61.62606000,1458373.62667420,0
1675043400000,23659.24000000,23671.18000000,23655.46000000,23667.15000000,122.74263000,1675043459999,2904599.68475490,3670,63.40987000,1500576.17634190,0
1675043460000,23667.88000000,23670.19000000,23658.00000000,23664.00000000,107.93076000,1675043519999,2554019.39600460,3425,58.02749000,1373133.74393740,0
1675043520000,23664.45000000,23668.87000000,23654.33000000,23665.82000000,145.82505000,1675043579999,3450474.16892770,3754,71.04875000,1681181.16036410,0
1675043580000,23666.60000000,23676.36000000,23664.90000000,23669.30000000,116.60792000,1675043639999,2760311.07247920,3409,66.54604000,1575285.52449870,0
1675043640000,23670.43000000,23671.68000000,23651.31000000,23662.09000000,134.30350000,1675043699999,3177639.11285220,3497,61.78645000,1461924.64077690,0
1675043700000,23662.09000000,23672.00000000,23662.01000000,23665.76000000,114.78209000,1675043759999,2716609.33258920,3675,56.84804000,1345468.59462240,0
1675043760000,23665.76000000,23670.00000000,23656.32000000,23664.63000000,145.07194000,1675043819999,3432883.13832010,3360,58.47113000,1383667.59755410,0
1675043820000,23664.63000000,23666.46000000,23655.00000000,23665.27000000,103.51132000,1675043879999,2449220.92524190,3139,51.98054000,1229950.11907330,0
1675043880000,23664.71000000,23667.24000000,23651.25000000,23657.71000000,107.66400000,1675043939999,2547137.17882670,3184,47.96126000,1134671.93334780,0
1675043940000,23656.80000000,23673.22000000,23655.50000000,23670.08000000,171.04281000,1675043999999,4048332.75798250,4639,101.22130000,2395794.44362640,0
1675044000000,23670.08000000,23673.06000000,23662.70000000,23668.01000000,91.49824000,1675044059999,2165475.76443640,3315,43.76198000,1035716.62491520,0
1675044060000,23668.01000000,23673.49000000,23659.09000000,23662.08000000,113.87842000,1675044119999,2695184.27157380,3819,52.63596000,1245789.41670650,0
1675044120000,23662.08000000,23664.70000000,23638.82000000,23641.04000000,213.95610000,1675044179999,5059661.62482130,5237,79.62780000,1883036.58141360,0
1675044180000,23641.04000000,23645.90000000,23626.00000000,23634.60000000,244.74918000,1675044239999,5784822.37999700,6141,120.97831000,2859513.59294100,0
1675044240000,23634.60000000,23642.55000000,23631.22000000,23638.99000000,132.79485000,1675044299999,3138914.06401310,4156,68.30429000,1614564.93851860,0
1675044300000,23638.99000000,23642.00000000,23621.46000000,23625.94000000,178.56381000,1675044359999,4219659.69602450,4903,82.26109000,1943937.31385570,0
1675044360000,23626.73000000,23635.38000000,23613.76000000,23630.36000000,258.22618000,1675044419999,6100231.93245620,6328,128.85549000,3044122.77013130,0
1675044420000,23630.35000000,23635.45000000,23626.20000000,23635.04000000,119.41302000,1675044479999,2821861.22476440,4231,59.83708000,1414054.20129890,0
1675044480000,23634.08000000,23636.32000000,23620.32000000,23626.91000000,148.83988000,1675044539999,3516811.54470880,4415,69.84508000,1650338.88580340,0
1675044540000,23626.91000000,23633.53000000,23623.75000000,23627.24000000,128.90694000,1675044599999,3045940.64795340,4062,68.12729000,1609808.61936250,0
1675044600000,23628.18000000,23631.98000000,23616.58000000,23621.48000000,160.45307000,1675044659999,3790789.28662580,4277,70.22724000,1659220.01583440,0
1675044660000,23621.04000000,23624.80000000,23567.10000000,23603.09000000,956.30952000,1675044719999,22568785.18929750,15047,404.09867000,9536475.92570450,0
1675044720000,23601.33000000,23628.99000000,23592.18000000,23625.09000000,240.13595000,1675044779999,5670199.01023830,7127,124.65961000,2943587.57783110,0
1675044780000,23625.09000000,23628.00000000,23605.40000000,23610.84000000,169.13742000,1675044839999,3994613.95930550,5184,66.44099000,1569242.32627070,0
1675044840000,23611.77000000,23614.25000000,23568.28000000,23591.95000000,329.61309000,1675044899999,7775071.09519210,7905,149.75007000,3532381.68083280,0
1675044900000,23590.44000000,23620.61000000,23585.37000000,23619.14000000,242.47732000,1675044959999,5723656.95355450,6672,127.38433000,3006842.86794040,0
1675044960000,23619.14000000,23627.04000000,23615.28000000,23623.59000000,142.06606000,1675045019999,3356002.09497800,4975,72.50420000,1712800.81149570,0
1675045020000,23624.51000000,23634.68000000,23621.70000000,23630.25000000,188.49926000,1675045079999,4454098.55065290,5652,104.77370000,2475812.48444340,0
1675045080000,23631.09000000,23639.51000000,23627.54000000,23630.65000000,129.15784000,1675045139999,3052528.15245070,4486,67.69164000,1599863.99211900,0
1675045140000,23630.65000000,23640.72000000,23618.00000000,23619.95000000,186.75084000,1675045199999,4412930.88815690,4979,99.67654000,2355425.89658830,0
1675045200000,23619.95000000,23622.20000000,23611.73000000,23613.93000000,132.50162000,1675045259999,3129320.45083570,3621,72.71660000,1717385.34389150,0
1675045260000,23613.87000000,23620.00000000,23604.26000000,23616.02000000,153.44893000,1675045319999,3623535.33067530,4676,77.79017000,1837006.32280810,0
1675045320000,23616.02000000,23630.00000000,23612.45000000,23613.24000000,173.87817000,1675045379999,4107269.03458680,4138,109.70546000,2591423.73882850,0
1675045380000,23612.97000000,23635.16000000,23608.50000000,23632.27000000,159.83855000,1675045439999,3775869.25485530,4475,82.86795000,1957592.90492200,0
1675045440000,23632.27000000,23637.46000000,23630.09000000,23632.71000000,105.26526000,1675045499999,2487848.18824160,3800,47.91838000,1132513.29471140,0
1675045500000,23632.71000000,23644.33000000,23624.84000000,23642.46000000,147.09054000,1675045559999,3476620.10649820,4300,72.07654000,1703697.28891540,0
1675045560000,23641.60000000,23644.37000000,23627.57000000,23631.18000000,147.26243000,1675045619999,3480791.24884920,4118,70.24418000,1660382.62878220,0
1675045620000,23631.50000000,23640.88000000,23627.25000000,23636.82000000,143.21374000,1675045679999,3384727.99796040,4197,77.78221000,1838374.56272120,0
1675045680000,23637.32000000,23640.97000000,23629.17000000,23639.08000000,100.82425000,1675045739999,2383066.61906150,3431,51.15097000,1209033.65372810,0
1675045740000,23638.93000000,23640.75000000,23628.79000000,23630.63000000,93.01411000,1675045799999,2198456.38543570,3027,39.82879000,941390.29263700,0
1675045800000,23631.44000000,23632.95000000,23619.37000000,23623.45000000,116.46150000,1675045859999,2751583.68701450,3948,54.81968000,1295224.66473860,0
1675045860000,23622.83000000,23643.00000000,23619.15000000,23639.33000000,128.43375000,1675045919999,3035339.38490240,4585,73.61870000,1739839.24205130,0
1675045920000,23639.33000000,23640.94000000,23628.07000000,23638.00000000,82.71966000,1675045979999,1955125.02599740,3066,41.57200000,982625.25837200,0
1675045980000,23638.00000000,23640.61000000,23626.43000000,23637.69000000,107.11159000,1675046039999,2531454.88617240,3576,49.46361000,1169051.87434470,0
1675046040000,23637.00000000,23641.78000000,23635.74000000,23637.69000000,56.45286000,1675046099999,1334459.92329420,2306,27.14617000,641701.06821840,0
1675046100000,23636.97000000,23639.25000000,23626.12000000,23628.98000000,82.24472000,1675046159999,1943660.89335280,2825,33.06217000,781359.17332490,0
1675046160000,23628.98000000,23639.31000000,23614.90000000,23619.71000000,154.53529000,1675046219999,3651415.90517360,4023,68.11928000,1609568.71570860,0
1675046220000,23619.70000000,23626.98000000,23611.24000000,23614.68000000,166.21652000,1675046279999,3925919.03047530,4294,83.98528000,1983731.05507030,0
1675046280000,23615.97000000,23616.60000000,23602.49000000,23608.04000000,119.69860000,1675046339999,2826119.47134130,3922,56.12366000,1325113.61838470,0
1675046340000,23608.60000000,23614.99000000,23606.18000000,23612.28000000,129.49694000,1675046399999,3057434.55362410,3619,66.91758000,1579951.62574700,0
1675046400000,23612.28000000,23616.12000000,23606.06000000,23609.45000000,108.02499000,1675046459999,2550648.05835310,3371,55.33754000,1306644.24121640,0
1675046460000,23609.45000000,23610.34000000,23599.86000000,23605.56000000,91.66997000,1675046519999,2163912.52341490,2912,42.92617000,1013315.32801760,0
1675046520000,23606.11000000,23622.55000000,23604.27000000,23616.01000000,125.94474000,1675046579999,2974202.83179770,3924,71.93134000,1698666.83706390,0
1675046580000,23616.69000000,23618.02000000,23606.72000000,23607.95000000,108.95365000,1675046639999,2572622.49831790,3343,46.87352000,1106800.66445170,0
1675046640000,23607.94000000,23625.85000000,23601.04000000,23622.92000000,126.36737000,1675046699999,2984095.31574510,4061,69.62391000,1644156.90315320,0
1675046700000,23623.78000000,23625.31000000,23617.00000000,23620.76000000,94.94899000,1675046759999,2242807.98814230,2883,50.04281000,1182108.01737520,0
1675046760000,23620.06000000,23623.84000000,23610.02000000,23614.90000000,93.52248000,1675046819999,2208808.20893600,3054,40.05444000,945995.38773750,0
1675046820000,23614.80000000,23615.78000000,23605.01000000,23608.83000000,84.36412000,1675046879999,1991905.20810010,3012,38.59979000,911366.62298950,0
1675046880000,23608.82000000,23610.03000000,23600.43000000,23603.38000000,117.42979000,1675046939999,2771873.35660000,3632,53.77522000,1269347.18172490,0
1675046940000,23604.12000000,23626.29000000,23600.14000000,23621.83000000,145.73116000,1675046999999,3441174.67429450,4568,88.73938000,2095399.08905280,0
1675047000000,23621.83000000,23632.21000000,23616.74000000,23621.50000000,183.77186000,1675047059999,4341627.30474700,4571,84.13933000,1987811.38753960,0
1675047060000,23621.50000000,23626.52000000,23620.04000000,23624.88000000,55.23734000,1675047119999,1304892.22431210,2256,29.27971000,691697.69382030,0
1675047120000,23624.88000000,23635.07000000,23619.16000000,23634.84000000,82.30954000,1675047179999,1944672.89797690,3099,45.68234000,1079347.50818280,0
1675047180000,23634.01000000,23637.01000000,23627.66000000,23632.09000000,111.96341000,1675047239999,2646000.81069330,3634,56.72974000,1340707.29850130,0
1675047240000,23632.77000000,23634.34000000,23615.39000000,23631.03000000,162.72932000,1675047299999,3844519.77783390,4503,72.33073000,1708863.79383460,0
