1675893600000,22956.11000000,22967.92000000,22943.92000000,22952.52000000,1128.52128000,1675894499999,25903731.36143410,36754,537.67990000,12342050.98739520,0
1675894500000,22952.92000000,22970.89000000,22942.86000000,22955.80000000,1183.81127000,1675895399999,27173015.18312870,32046,547.50476000,12567784.65259880,0
1675895400000,22955.80000000,22974.04000000,22946.94000000,22959.09000000,1069.98757000,1675896299999,24565097.94764360,35530,541.50788000,12432585.26479630,0
1675896300000,22958.53000000,22975.57000000,22915.72000000,22928.75000000,1547.72919000,1675897199999,35520454.84842030,40601,713.42835000,16373588.25911030,0
1675897200000,22929.28000000,22953.16000000,22878.70000000,22888.13000000,3302.50227000,1675898099999,75674389.11343220,73096,1540.21059000,35293603.91367670,0
1675898100000,22888.64000000,22935.78000000,22873.60000000,22914.03000000,2405.22193000,1675898999999,55084504.62477650,59456,1181.81228000,27066302.56603340,0
1675899000000,22914.03000000,22957.74000000,22912.11000000,22950.51000000,1942.54294000,1675899899999,44565221.97672180,48121,1020.83903000,23419832.22181470,0
1675899900000,22949.90000000,22970.61000000,22926.47000000,22963.00000000,1789.70606000,1675900799999,41063124.77979460,45744,885.42144000,20315832.41113310,0
1675900800000,22961.85000000,23011.39000000,22947.40000000,22953.98000000,3037.56164000,1675901699999,69807856.40651840,88296,1554.47079000,35725531.83191410,0
1675901700000,22953.29000000,22998.95000000,22926.35000000,22988.08000000,1722.24691000,1675902599999,39536067.67252780,59751,867.95034000,19924916.18408930,0
1675902600000,22988.08000000,22989.61000000,22936.01000000,22941.12000000,1999.48939000,1675903499999,45906847.50752450,67474,937.27930000,21519505.88141420,0
1675903500000,22941.82000000,22992.26000000,22936.38000000,22980.64000000,2375.60846000,1675904399999,54550285.13573300,69129,1189.87911000,27323541.52021090,0
1675904400000,22980.12000000,22993.90000000,22933.60000000,22959.66000000,2574.55491000,1675905299999,59121037.23463060,74986,1273.72677000,29249190.01155690,0
1675905300000,22960.52000000,22986.94000000,22941.57000000,22952.04000000,2244.46139000,1675906199999,51550793.54842510,69838,1130.07927000,25956737.93925410,0
1675906200000,22951.41000000,22984.57000000,22951.21000000,22968.71000000,1973.48319000,1675907099999,45335499.30878570,62041,1058.97326000,24327251.73097880,0
1675907100000,22968.16000000,22973.12000000,22942.07000000,22948.13000000,1663.49986000,1675907999999,38189593.24351530,55347,781.36327000,17938445.60550310,0
1675908000000,22948.13000000,22956.92000000,22891.26000000,22893.06000000,2730.34161000,1675908899999,62596261.34695210,80514,1184.81170000,27164718.67562300,0
1675908900000,22893.05000000,22937.37000000,22890.00000000,22924.33000000,2245.25736000,1675909799999,51456956.23278800,68447,1181.95840000,27088272.97681780,0
1675909800000,22923.73000000,22944.97000000,22868.37000000,22885.14000000,2288.03193000,1675910699999,52420674.71126460,68799,1109.84002000,25429180.39789200,0
1675910700000,22885.14000000,22907.55000000,22801.15000000,22806.76000000,4604.78326000,1675911599999,105245806.83302130,111646,2131.63072000,48725756.53807880,0
1675911600000,22806.76000000,22816.77000000,22424.48000000,22572.22000000,16785.28324000,1675912499999,379698014.97145710,313044,7958.30516000,180024846.00584010,0
1675912500000,22574.22000000,22640.12000000,22486.63000000,22523.40000000,7598.25153000,1675913399999,171564633.36770310,181560,3689.35565000,83307521.74341520,0
1675913400000,22522.11000000,22563.82000000,22451.11000000,22549.16000000,6945.99548000,1675914299999,156313784.91930960,171596,3505.62797000,78894559.28317770,0
1675914300000,22549.16000000,22568.00000000,22491.89000000,22518.44000000,4365.31811000,1675915199999,98366750.20029750,121340,2279.59823000,51368726.00318020,0
1675915200000,22519.56000000,22545.98000000,22353.71000000,22529.05000000,7744.29258000,1675916099999,173961727.87984030,188942,3781.93160000,84966196.68005530,0
1675916100000,22527.61000000,22599.99000000,22520.04000000,22538.75000000,4720.59495000,1675916999999,106469635.21164720,116795,2419.93930000,54581193.51289030,0
1675917000000,22540.25000000,22611.56000000,22530.75000000,22600.13000000,3136.94638000,1675917899999,70788388.32114170,91249,1777.62598000,40113805.43518730,0
1675917900000,22600.17000000,22602.04000000,22546.90000000,22568.57000000,2339.51679000,1675918799999,52801922.37040610,75919,1104.97172000,24939355.49461470,0
1675918800000,22569.04000000,22596.01000000,22548.85000000,22564.60000000,2477.01959000,1675919699999,55904110.37412450,74309,1263.88372000,28525858.00861270,0
1675919700000,22565.06000000,22585.99000000,22533.84000000,22574.59000000,2679.80368000,1675920599999,60456547.69909300,76277,1223.64875000,27608058.73461770,0
1675920600000,22574.59000000,22611.00000000,22540.54000000,22603.76000000,3873.59580000,1675921499999,87485196.16735570,89805,1931.00622000,43612282.93259160,0
1675921500000,22603.76000000,22641.16000000,22571.01000000,22603.08000000,4239.60990000,1675922399999,95859983.54186530,98181,2083.27367000,47100971.82475460,0
1675922400000,22602.50000000,22626.21000000,22573.90000000,22592.77000000,3108.19487000,1675923299999,70217906.57306840,83246,1483.31537000,33512348.98578450,0
1675923300000,22592.78000000,22618.51000000,22584.45000000,22594.31000000,1897.00273000,1675924199999,42871193.60934290,64981,971.92505000,21965368.01889250,0
1675924200000,22594.31000000,22612.46000000,22577.05000000,22610.74000000,2128.75726000,1675925099999,48106053.10221980,66516,1088.16031000,24591018.98709640,0
1675925100000,22610.74000000,22733.54000000,22607.44000000,22719.25000000,5747.95391000,1675925999999,130414721.54903310,133888,2948.33307000,66893166.32243230,0
1675926000000,22719.22000000,22737.48000000,22657.15000000,22661.28000000,3793.75153000,1675926899999,86086904.52003700,97767,1806.53254000,40995361.69393380,0
